GPSWeek,GPSTime,imu_lon,imu_lat,imu_altitude,headingAngle,v,cmd_steering,cmd_v,imu_gps_state,imu_satellite_num,imu_warning,cmd_v.1,car_v,shiftLevel
2283.0,549571.78,121.51307254,37.43193062,44.59,168.36,2.6388,62.0,28.0,2.0,3,2.640625,3,,
2283.0,549571.87,121.5130727,37.43193006,44.59,168.32,2.5452,62.0,28.0,2.0,3,2.640625,3,,
2283.0,549571.97,121.51307287,37.43192944,44.59,168.25,2.5704,62.0,28.0,2.0,3,2.65625,3,,
2283.0,549572.08,121.51307308,37.43192872,44.59,168.17,2.5452,62.0,28.0,2.0,3,2.65625,3,,
2283.0,549572.17,121.51307323,37.43192815,44.59,168.13,2.6712,62.0,28.0,2.0,3,2.6953125,3,,
2283.0,549572.28,121.51307344,37.43192757,44.59,168.01,2.5308,62.0,28.0,2.0,3,2.71875,3,,
2283.0,549572.37,121.51307356,37.43192698,44.59,168.03,2.6136,62.0,28.0,2.0,3,2.734375,3,,
2283.0,549572.48,121.51307371,37.43192618,44.59,168.01,2.7648,62.0,27.0,2.0,3,2.734375,3,,
2283.0,549572.57,121.51307389,37.4319256,44.59,167.95,2.5236,62.0,27.0,2.0,3,2.75,3,,
2283.0,549572.68,121.51307405,37.43192489,44.59,168.0,2.6676,62.0,28.0,2.0,3,2.7734375,3,,
2283.0,549572.77,121.51307425,37.43192432,44.59,167.92,2.6496,62.0,28.0,2.0,3,2.7890625,3,,
2283.0,549572.88,121.51307445,37.43192361,44.59,167.92,2.5380000000000003,62.0,27.0,2.0,3,2.7890625,3,,
2283.0,549572.98,121.51307461,37.43192298,44.59,167.84,2.7288,62.0,27.0,2.0,3,2.8125,3,,
2283.0,549573.07,121.51307478,37.43192248,44.59,167.63,2.4948,62.0,26.0,2.0,3,2.828125,3,,
2283.0,549573.17,121.51307492,37.4319218,44.59,167.71,2.4912,62.0,26.0,2.0,3,2.8125,3,,
2283.0,549573.28,121.51307506,37.43192081,44.59,167.77,2.8008,62.0,27.0,2.0,3,2.828125,3,,
2283.0,549573.37,121.51307525,37.43192023,44.59,167.56,2.97,62.0,27.0,2.0,3,2.828125,3,,
2283.0,549573.48,121.51307557,37.43191968,44.59,167.37,2.7468,62.0,27.0,2.0,3,2.828125,3,,
2283.0,549573.58,121.51307573,37.431919,44.59,167.4,2.43,62.0,27.0,2.0,3,2.828125,3,,
2283.0,549573.68,121.51307589,37.431918100000004,44.59,167.5,2.6352,62.0,27.0,2.0,3,2.828125,3,,
2283.0,549573.78,121.51307609,37.43191745,44.59,167.43,3.15,62.0,27.0,2.0,3,2.828125,3,,
2283.0,549573.88,121.51307637,37.43191706,44.59,167.1,2.8080000000000003,62.0,26.0,2.0,3,2.828125,3,,
2283.0,549573.97,121.5130765,37.43191641,44.59,167.29,2.3796000000000004,62.0,26.0,2.0,3,2.828125,3,,
2283.0,549574.07,121.51307662,37.43191558,44.59,167.39,3.0384,62.0,26.0,2.0,3,2.8515625,3,,
2283.0,549574.18,121.51307688,37.43191488,44.59,167.15,3.2256,62.0,26.0,2.0,3,2.828125,3,,
2283.0,549574.28,121.51307716,37.43191452,44.59,166.92,2.6460000000000004,62.0,27.0,2.0,3,2.8125,3,,
2283.0,549574.37,121.51307731,37.4319139,44.59,167.05,2.4084000000000003,62.0,27.0,2.0,3,2.8125,3,,
2283.0,549574.47,121.51307745,37.43191294,44.59,167.13,2.8008,62.0,27.0,2.0,3,2.8125,3,,
2283.0,549574.58,121.51307765,37.43191222,44.59,167.04,3.0996,62.0,27.0,2.0,3,2.7890625,3,,
2283.0,549574.67,121.51307781,37.43191187,44.59,166.79,2.5704,62.0,27.0,2.0,3,2.7890625,3,,
2283.0,549574.77,121.51307795,37.43191117,44.59,166.92,2.2644,62.0,27.0,2.0,3,2.7890625,3,,
2283.0,549574.87,121.51307809,37.43191024,44.59,167.05,2.9592,62.0,27.0,2.0,3,2.7890625,3,,
2283.0,549574.98,121.51307834,37.43190958,44.59,166.84,3.2832000000000003,62.0,27.0,2.0,3,2.7734375,3,,
2283.0,549575.07,121.51307853,37.43190934,44.59,166.66,2.322,62.0,27.0,2.0,3,2.7734375,3,,
2283.0,549575.18,121.51307874,37.43190859,44.59,166.78,2.3076000000000003,62.0,27.0,2.0,3,2.734375,3,,
2283.0,549575.27,121.513079,37.43190739,44.59,166.85,2.9124000000000003,62.0,27.0,2.0,3,2.734375,3,,
2283.0,549575.38,121.51307925,37.43190668,44.59,166.75,3.1428000000000003,62.0,27.0,2.0,3,2.71875,3,,
2283.0,549575.47,121.51307943,37.43190644,44.59,166.53,2.4696,62.0,27.0,2.0,3,2.71875,3,,
2283.0,549575.57,121.51307958,37.43190575,44.58,166.69,2.3112,62.0,27.0,2.0,3,2.71875,3,,
2283.0,549575.67,121.51307977,37.43190468,44.59,166.75,2.9772,62.0,26.0,2.0,3,2.71875,3,,
2283.0,549575.78,121.51308002,37.43190402,44.59,166.51,2.9556,62.0,26.0,2.0,3,2.734375,3,,
2283.0,549575.88,121.51308022,37.43190364,44.58,166.46,2.3256,62.0,26.0,2.0,3,2.734375,3,,
2283.0,549575.97,121.51308035,37.43190303,44.58,166.58,2.6892,62.0,26.0,2.0,3,2.734375,3,,
2283.0,549576.08,121.51308063,37.43190217,44.58,166.46,2.9052,62.0,26.0,2.0,3,2.75,3,,
2283.0,549576.17,121.51308082,37.4319016,44.58,166.35,2.7,62.0,26.0,2.0,3,2.7734375,3,,
2283.0,549576.27,121.51308097,37.43190121,44.58,166.32,2.5128,62.0,26.0,2.0,3,2.7890625,3,,
2283.0,549576.37,121.51308114,37.43190054,44.58,166.33,2.7108,62.0,26.0,2.0,3,2.8125,3,,
2283.0,549576.47,121.51308134,37.43189956,44.59,166.27,3.06,62.0,26.0,2.0,3,2.8125,3,,
2283.0,549576.58,121.51308159,37.43189884,44.58,166.15,2.574,62.0,26.0,2.0,3,2.828125,3,,
2283.0,549576.67,121.5130818,37.43189817,44.58,166.28,2.6208,62.0,25.0,2.0,3,2.828125,3,,
2283.0,549576.77,121.51308203,37.43189752,44.58,166.19,3.1392,62.0,25.0,2.0,3,2.828125,3,,
2283.0,549576.88,121.51308226,37.43189695,44.58,166.01,2.7756000000000003,62.0,25.0,2.0,3,2.828125,3,,
2283.0,549576.98,121.51308247,37.43189627,44.58,166.04,2.5992,62.0,25.0,2.0,3,2.8515625,3,,
2283.0,549577.08,121.51308267,37.43189553,44.58,166.03,2.7612,62.0,24.0,2.0,3,2.828125,3,,
2283.0,549577.18,121.51308286,37.43189484,44.58,165.98,2.7684,62.0,24.0,2.0,3,2.828125,3,,
2283.0,549577.27,121.51308299,37.43189416,44.59,165.92,3.0024,62.0,27.0,2.0,3,2.828125,3,,
2283.0,549577.37,121.51308322,37.43189351,44.58,165.79,2.5524,62.0,27.0,2.0,3,2.828125,3,,
2283.0,549577.47,121.51308351,37.43189305,44.58,165.8,2.5488,62.0,27.0,2.0,3,2.828125,3,,
2283.0,549577.57,121.51308372,37.43189238,44.58,165.81,3.0276,62.0,27.0,2.0,3,2.8125,3,,
2283.0,549577.68,121.51308402,37.43189172,44.58,165.63,2.7612,62.0,27.0,2.0,3,2.828125,3,,
2283.0,549577.77,121.51308421,37.43189113,44.58,165.62,2.6352,62.0,27.0,2.0,3,2.8125,3,,
2283.0,549577.87,121.51308437,37.4318906,44.58,165.59,2.6172,62.0,27.0,2.0,3,2.7890625,3,,
2283.0,549577.97,121.51308458,37.43188996,44.58,165.57,2.5524,62.0,27.0,2.0,3,2.7890625,3,,
2283.0,549578.07,121.51308476,37.43188909,44.58,165.6,2.9952,62.0,27.0,2.0,3,2.7890625,3,,
2283.0,549578.17,121.513085,37.43188845,44.58,165.45,2.9304,62.0,27.0,2.0,3,2.7734375,3,,
2283.0,549578.27,121.51308532,37.43188848,44.57,165.3,2.3976,62.0,28.0,2.0,3,2.7734375,3,,
2283.0,549578.37,121.51308553,37.43188782,44.57,165.35,2.6639999999999997,62.0,28.0,2.0,3,2.7734375,3,,
2283.0,549578.47,121.51308576,37.43188706,44.57,165.26,2.7,62.0,28.0,2.0,3,2.75,3,,
2283.0,549578.58,121.51308600000002,37.43188636,44.57,165.21,2.6496,62.0,28.0,2.0,3,2.75,3,,
2283.0,549578.68,121.51308619999999,37.43188576,44.57,165.11,2.7468,62.0,28.0,2.0,3,2.734375,3,,
2283.0,549578.77,121.51308637,37.43188519,44.57,165.11,2.358,62.0,28.0,2.0,3,2.71875,3,,
2283.0,549578.87,121.51308655,37.43188435,44.57,165.22,2.7539999999999996,62.0,28.0,2.0,3,2.71875,3,,
2283.0,549578.98,121.51308683,37.43188369,44.57,165.05,2.8332,62.0,28.0,2.0,3,2.71875,3,,
2283.0,549579.07,121.51308705,37.431883299999996,44.57,164.92,2.4264,62.0,28.0,2.0,3,2.71875,3,,
2283.0,549579.18,121.51308728,37.4318826,44.57,164.93,2.4659999999999997,62.0,28.0,2.0,3,2.71875,3,,
2283.0,549579.28,121.51308742,37.43188189,44.57,164.92,2.5056,62.0,28.0,2.0,3,2.71875,3,,
2283.0,549579.38,121.51308759999999,37.43188127,44.57,164.84,2.7504,62.0,28.0,2.0,3,2.734375,3,,
2283.0,549579.48,121.51308784,37.43188078,44.57,164.7,2.6136,62.0,28.0,2.0,3,2.734375,3,,
2283.0,549579.58,121.51308801,37.43188014,44.57,164.78,2.322,62.0,28.0,2.0,3,2.75,3,,
2283.0,549579.67,121.51308823,37.43187912,44.58,164.8,2.9448,62.0,28.0,2.0,3,2.7734375,3,,
2283.0,549579.77,121.51308849,37.43187852,44.57,164.62,2.6028,62.0,28.0,2.0,3,2.7890625,3,,
2283.0,549579.88,121.51308867,37.43187822,44.57,164.63,2.2608,62.0,28.0,2.0,3,2.828125,3,,
2283.0,549579.98,121.51308889,37.43187757,44.57,164.68,2.7036,62.0,28.0,2.0,3,2.828125,3,,
2283.0,549580.08,121.51308922,37.43187665,44.57,164.57,3.096,62.0,27.0,2.0,3,2.8515625,3,,
2283.0,549580.18,121.51308946,37.43187601,44.57,164.44,2.6892,62.0,27.0,2.0,3,2.8515625,3,,
2283.0,549580.28,121.51308979,37.43187576,44.57,164.36,2.4084000000000003,62.0,26.0,2.0,3,2.8671875,3,,
2283.0,549580.37,121.51308994,37.43187512,44.57,164.51,2.8044,62.0,26.0,2.0,3,2.8671875,3,,
2283.0,549580.48,121.51309019,37.43187385,44.57,164.52,3.2688,62.0,26.0,2.0,3,2.8671875,3,,
2283.0,549580.58,121.5130905,37.43187325,44.57,164.23,2.8296,62.0,26.0,2.0,3,2.8671875,3,,
2283.0,549580.68,121.51309069,37.43187326,44.57,164.27,2.1924,62.0,25.0,2.0,3,2.8828125,3,,
2283.0,549580.77,121.51309086,37.43187263,44.57,164.46,3.0024,62.0,25.0,2.0,3,2.8671875,3,,
2283.0,549580.88,121.51309125,37.43187139,44.57,164.23,3.4272,62.0,25.0,2.0,3,2.8671875,3,,
2283.0,549580.98,121.51309148,37.43187077,44.57,163.98,2.7036,62.0,25.0,2.0,3,2.8671875,3,,
2283.0,549581.08,121.51309161,37.43187051,44.57,164.09,2.3364000000000003,62.0,25.0,2.0,3,2.8671875,3,,
2283.0,549581.18,121.51309181,37.43186981,44.57,164.19,2.6028,62.0,25.0,2.0,3,2.8671875,3,,
2283.0,549581.28,121.5130923,37.43186773,44.57,164.16,3.2868000000000004,62.0,27.0,2.0,3,2.8671875,3,,
2283.0,549581.37,121.51309257,37.43186717,44.57,163.9,2.9808,62.0,27.0,2.0,3,2.8671875,3,,
2283.0,549581.48,121.51309282,37.43186764,44.57,163.77,2.2428,62.0,27.0,2.0,3,2.8515625,3,,
2283.0,549581.58,121.51309305,37.43186695,44.57,163.99,2.3868,62.0,27.0,2.0,3,2.828125,3,,
2283.0,549581.68,121.51309341,37.43186528,44.57,164.05,3.2616,62.0,27.0,2.0,3,2.8125,3,,
2283.0,549581.78,121.51309371,37.43186467,44.57,163.72,3.0456,62.0,27.0,2.0,3,2.828125,3,,
2283.0,549581.87,121.51309377,37.43186468,44.57,163.74,2.3544,62.0,27.0,2.0,3,2.8125,3,,
2283.0,549581.98,121.51309401,37.43186392,44.57,163.79,2.6172,62.0,27.0,2.0,3,2.8125,3,,
2283.0,549582.08,121.51309438,37.43186295,44.57,163.75,2.9664,62.0,27.0,2.0,3,2.7890625,3,,
2283.0,549582.18,121.51309464,37.43186232,44.57,163.59,3.0384,62.0,27.0,2.0,3,2.7890625,3,,
2283.0,549582.28,121.51309488,37.43186264,44.57,163.37,2.4012,62.0,28.0,2.0,3,2.7734375,3,,
2283.0,549582.37,121.51309508,37.43186202,44.57,163.58,2.3688,62.0,28.0,2.0,3,2.75,3,,
2283.0,549582.48,121.51309526,37.43186045,44.57,163.68,2.9016,62.0,28.0,2.0,3,2.75,3,,
2283.0,549582.58,121.51309549,37.43185986,44.57,163.44,3.0132,62.0,28.0,2.0,3,2.734375,3,,
2283.0,549582.67,121.51309551,37.43185983,44.57,163.44,2.3652,62.0,28.0,2.0,3,2.71875,3,,
2283.0,549582.77,121.51309573,37.43185919,44.57,163.48,2.3868,62.0,28.0,2.0,3,2.71875,3,,
2283.0,549582.87,121.51309599999999,37.43185827,44.58,163.43,2.8080000000000003,62.0,28.0,2.0,3,2.71875,3,,
2283.0,549582.98,121.51309626,37.43185759,44.58,163.38,2.97,62.0,28.0,2.0,3,2.71875,3,,
2283.0,549583.08,121.51309652,37.43185722,44.58,163.23,2.3184,62.0,27.0,2.0,3,2.71875,3,,
2283.0,549583.18,121.51309672,37.43185657,44.58,163.36,2.4336,62.0,27.0,2.0,3,2.71875,3,,
2283.0,549583.28,121.51309697,37.43185539,44.58,163.41,2.9196000000000004,62.0,27.0,2.0,3,2.734375,3,,
2283.0,549583.37,121.51309721,37.43185484,44.58,163.32,2.5272,62.0,27.0,2.0,3,2.75,3,,
2283.0,549583.47,121.51309739,37.43185405,44.58,163.4,2.7036,12.0,27.0,2.0,3,2.7734375,3,,
2283.0,549583.57,121.51309762,37.43185341,44.58,163.36,2.8008,12.0,27.0,2.0,3,2.7890625,3,,
2283.0,549583.68,121.51309786,37.43185282,44.58,163.33,2.6928,12.0,27.0,2.0,3,2.8125,3,,
2283.0,549583.78,121.51309815,37.43185218,44.58,163.31,2.7144,12.0,27.0,2.0,3,2.828125,3,,
2283.0,549583.88,121.51309841,37.43185158,44.58,163.32,2.6639999999999997,12.0,26.0,2.0,3,2.8515625,3,,
2283.0,549583.98,121.51309865,37.43185089999999,44.58,163.36,2.9556,12.0,26.0,2.0,3,2.8515625,3,,
2283.0,549584.07,121.51309891,37.43185041,44.58,163.19,2.8656,12.0,27.0,2.0,3,2.8671875,3,,
2283.0,549584.18,121.51309913,37.43184966,44.58,163.25,2.5056,12.0,27.0,2.0,3,2.8671875,3,,
2283.0,549584.28,121.51309916,37.43184859,44.57,163.53,2.6784,12.0,27.0,2.0,3,2.8828125,3,,
2283.0,549584.37,121.51309942,37.43184802,44.58,163.45,3.0348,12.0,27.0,2.0,3,2.8828125,3,,
2283.0,549584.48,121.51309978,37.43184763,44.58,163.36,2.8116000000000003,12.0,27.0,2.0,3,2.8828125,3,,
2283.0,549584.58,121.51310005,37.43184695,44.58,163.47,2.6639999999999997,12.0,27.0,2.0,3,2.8828125,3,,
2283.0,549584.67,121.51310036,37.43184625,44.58,163.48,2.7,12.0,27.0,2.0,3,2.90625,3,,
2283.0,549584.78,121.51310061,37.43184549,44.58,163.54,2.8116000000000003,12.0,27.0,2.0,3,2.90625,3,,
2283.0,549584.88,121.51310086,37.43184437,44.58,163.64,3.1428000000000003,12.0,26.0,2.0,3,2.8828125,3,,
2283.0,549584.98,121.51310115,37.43184373,44.58,163.51,2.9448,12.0,26.0,2.0,3,2.8828125,3,,
2283.0,549585.08,121.51310132,37.43184345,44.58,163.57,2.5416,12.0,26.0,2.0,3,2.8828125,3,,
2283.0,549585.17,121.51310151,37.43184281,44.58,163.72,2.9016,12.0,26.0,2.0,3,2.8828125,3,,
2283.0,549585.28,121.51310211,37.43184149,44.58,163.63,3.0312,12.0,27.0,2.0,3,2.8671875,3,,
2283.0,549585.38,121.51310236,37.431840799999996,44.58,163.65,2.8476000000000004,12.0,27.0,2.0,3,2.8671875,3,,
2283.0,549585.48,121.51310256,37.43184019,44.58,163.65,2.826,12.0,27.0,2.0,3,2.8671875,3,,
